"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.1383890397,0.3437028395,0.4440050451,0.2916353470,0.5127828577,0.3434986884,0.3363639152,0.5735058533,0.5438433292,0.5837531126,0.5780204836,0.5381167920,0.0141453454,0.1446546415,0.0317536859,1.0000000000,0.7113045785,0.5097593706,0.4129032383,0.0912294334,0.0639966662,0.0264561478,0.0000000000,0.0000000000,0.0000000000,0.5423728814,0.8000000000,0.9000000000,6.0000000000,6.0000000000,8.0000000000,0.2000000000,1.0000000000,0.2500000000,18.0000000000,no
0.1607361117,0.2616939202,0.4507623683,0.3175337707,0.5624833159,0.3950162261,0.3834081214,0.5847139195,0.5504850842,0.7851283641,0.5932351892,0.6766074152,0.0152414053,0.1686209579,0.0310706717,0.9954996231,0.6082430432,0.5689374216,0.4903225974,0.0695553853,0.0714232561,0.0223146480,0.0000000000,0.0000000000,0.0000000000,0.6836158192,0.8000000000,0.9000000000,7.0000000000,6.0000000000,8.0000000000,0.2000000000,1.0000000000,0.0000000000,18.0000000000,no
0.0965307358,0.2900476074,0.4647155947,0.3670496376,0.5693311310,0.4448535586,0.4373506253,0.5794659012,0.7239293317,0.6964531863,0.6735084353,0.5863339158,0.0098168110,0.1487034331,0.0296553063,0.9630359275,0.6147335315,0.6487997527,0.4290322554,0.1148572132,0.1117262729,0.0303857158,0.0000000000,0.0000000000,0.0000000000,0.5932203390,0.8000000000,0.9000000000,8.0000000000,6.0000000000,8.0000000000,0.2000000000,1.0000000000,0.0000000000,18.0000000000,no
0.1750131243,0.3801591931,0.4286488562,0.3781202033,0.6019742279,0.5144238210,0.5072362066,0.6093467840,0.6039734192,0.5217204438,0.7395109501,0.7087635921,0.0070393455,0.1275026348,0.0333808411,0.8887650116,0.5813006747,0.7545432669,0.4306451571,0.2314513845,0.0727359577,0.0286902617,0.0000000000,0.0000000000,0.0000000000,0.7175141243,0.8000000000,0.9000000000,9.0000000000,6.0000000000,8.0000000000,0.2000000000,1.0000000000,0.0000000000,18.0000000000,no
0.0469223250,0.3261012739,0.4551406867,0.4322575258,0.6126182646,0.5654779147,0.5519502378,0.5558070118,0.6005572789,0.7125540799,0.7991157671,0.5854181101,0.0096525431,0.1498637455,0.0292298758,0.8056492334,0.5927963414,0.8320119285,0.4403226059,0.3123052569,0.0736110491,0.0277189078,0.0000000000,0.0000000000,0.0000000000,0.5932203390,0.8000000000,0.9000000000,10.0000000000,6.0000000000,8.0000000000,0.1200000000,0.0000000000,0.0000000000,18.0000000000,no
0.0175635434,0.2612611256,0.4723112213,0.4723003467,0.6274922657,0.6132340875,0.5859979139,0.4990105847,0.4220840418,0.6368544028,0.8367778765,0.5211680573,0.0186229010,0.1417815427,0.0269985006,0.7823351927,0.6539236929,0.9291347773,0.4790322470,0.2855465245,0.0940590470,0.0259969623,0.0000000000,0.0000000000,0.0000000000,0.5254237288,0.8000000000,0.9000000000,11.0000000000,6.0000000000,8.0000000000,0.1600000000,0.0000000000,0.0000000000,18.0000000000,no
0.0458324667,0.2983610259,0.6174613981,0.4945927656,0.6000811024,0.4749533766,0.4647014716,0.5606837337,0.7575812495,0.4979037278,0.7027327684,0.1612946368,0.0199580218,0.1587730874,0.0144473518,0.7076237094,0.8778574011,0.7137383000,0.7193548713,0.3580986264,0.0647556964,0.0150648158,0.0000000000,0.0000000000,0.0000000000,0.1638418079,0.8000000000,0.9000000000,12.0000000000,6.0000000000,8.0000000000,0.1600000000,0.0000000000,0.0000000000,18.0000000000,no
0.0000000000,0.4599552152,0.6351725041,0.5978645987,0.6726904844,0.6034829903,0.5988026932,0.5990924784,0.2914689255,0.6932918629,0.8127259739,0.7436374701,0.0111232500,0.1667939666,0.0143562927,0.6521025960,0.8503993975,0.8220563840,0.7096774610,0.3828242325,0.0328913098,0.0066052065,0.0000000000,0.0000000000,0.0000000000,0.7514124294,0.8000000000,0.9000000000,13.0000000000,6.0000000000,8.0000000000,0.1600000000,0.0000000000,0.0000000000,18.0000000000,no
0.0197219660,0.4772218354,0.6833567392,0.7163707676,0.7137385629,0.7042357733,0.6992662816,0.5466985450,0.1677821224,0.4522515608,0.8898324498,0.6621895441,0.0053191458,0.1487687021,0.0058298483,0.5948816472,0.8514780625,0.9507548554,0.6887097003,0.4277149606,0.0262832820,0.0038854156,0.0000000000,0.0000000000,0.0000000000,0.6723163842,0.8000000000,0.9000000000,14.0000000000,6.0000000000,8.0000000000,0.2000000000,0.0000000000,0.0000000000,18.0000000000,no
0.1378345563,0.6190279058,0.7507333951,0.7983985649,0.7485478044,0.7404589718,0.7399445388,0.4958696266,0.0000000000,0.3123159402,0.9206920591,0.6610317138,0.0107730172,0.1494505967,0.0000000000,0.5283498234,0.8834715871,0.9930842879,0.6435483755,0.4824314006,0.0221755890,0.0052188195,0.0000000000,0.0000000000,0.0000000000,0.6666666667,0.8000000000,0.9000000000,15.0000000000,6.0000000000,8.0000000000,0.2000000000,0.0000000000,0.0000000000,18.0000000000,no
