"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.7670004692,0.1904075739,0.3622171559,0.4999780858,0.8097882640,0.2282954579,0.2290767605,0.6064322240,0.3208179182,0.6998346480,0.2081173910,0.5295002969,0.1002353994,0.6059731026,0.3250125288,0.2879928315,0.4751100540,0.2094149044,0.4372780922,0.2918497204,0.2975377003,0.1636211757,0.0000000000,0.0000000000,0.0000000000,0.5263157895,0.9000000000,0.9500000000,9.0000000000,7.0000000000,8.0000000000,0.2800000000,2.0000000000,0.5000000000,13.0000000000,no
0.6906735856,0.1699681140,0.3795946757,0.5312972197,0.7598213851,0.2431304167,0.2454410933,0.5696447955,0.3522096980,0.4669922357,0.2345484702,0.6587789382,0.0633669748,0.0000000000,0.2557120852,0.1303763441,0.4413675932,0.2291036403,0.2988165798,0.3233531911,0.1775644046,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6555023923,0.9000000000,0.9500000000,10.0000000000,7.0000000000,8.0000000000,0.2400000000,1.0000000000,0.5000000000,13.0000000000,no
0.4158164040,0.1642043252,0.3322797301,0.5016957979,0.7760715052,0.2806816263,0.2828120438,0.5538834392,0.2861512033,0.5949934159,0.2665063780,0.7084969300,0.1072728064,0.1986128056,0.2642302472,0.0940860215,0.4137987590,0.2757227954,0.2491124216,0.3571132858,0.0695127014,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7081339713,0.9000000000,0.9500000000,11.0000000000,7.0000000000,8.0000000000,0.2800000000,1.0000000000,0.5000000000,13.0000000000,no
0.2533440841,0.1908936766,0.0842494279,0.5273028766,0.8771615591,0.3561283275,0.3450264827,0.4808755961,0.1480810916,0.5887182095,0.2998583212,0.6654850413,0.1451406533,0.1804052786,0.2204069337,0.0250896057,0.4348121216,0.3410889392,0.2437869829,0.3938692266,0.1054255766,0.0551134932,0.0000000000,0.0000000000,0.0000000000,0.6650717703,0.9000000000,0.9500000000,12.0000000000,7.0000000000,8.0000000000,0.3200000000,1.0000000000,0.5000000000,13.0000000000,no
0.3500038313,0.4143938473,0.0000000000,0.4973444759,0.9756386863,0.4419110977,0.3921600067,0.2134363660,0.0000000000,0.7170334851,0.3242447571,0.5650315134,0.2157847799,0.1926154111,0.2285947446,0.0000000000,0.4951163915,0.4193368319,0.2153846219,0.4227591364,0.1171783736,0.0968194510,0.0000000000,0.0000000000,0.0000000000,0.5645933014,0.9000000000,0.9500000000,13.0000000000,7.0000000000,8.0000000000,0.3200000000,1.0000000000,0.5000000000,13.0000000000,no
0.1966954315,0.4465750016,0.0947715685,0.5556239394,0.9401133302,0.4880063962,0.4617593252,0.4546577123,0.0687585875,0.6740426776,0.3821486719,0.6023208210,0.2196360222,0.2753904288,0.1712727899,0.0755376344,0.4782111310,0.4777128318,0.1923076996,0.4468263247,0.2270598929,0.2987246431,0.0000000000,0.0000000000,0.0000000000,0.6028708134,0.0000000000,0.2500000000,0.0000000000,3.0000000000,3.0000000000,0.2800000000,1.0000000000,0.5000000000,1.0000000000,no
0.2812974830,0.4650874117,0.2481531310,0.6204746743,0.9003742730,0.5401138406,0.5497006119,0.6865051625,0.4523095028,0.5744157553,0.4687409866,0.6246579523,0.1246120334,0.1989075901,0.1205202355,0.2389784946,0.5255319468,0.5388238614,0.1852070935,0.0110318022,0.2109968211,0.1861092971,0.0000000000,0.0000000000,0.0000000000,0.6220095694,0.2000000000,0.4500000000,0.0000000000,4.0000000000,3.0000000000,0.2800000000,1.0000000000,0.5000000000,1.0000000000,no
0.1452707967,0.5103181079,0.0651644805,0.7271189750,1.0000000000,0.6784058647,0.6321444756,0.4202645085,0.2753857863,0.5277789337,0.5063617302,0.4473600668,0.2525945229,0.3159829581,0.0743518588,0.3637992832,0.5719946049,0.6224625858,0.1852070935,0.0000000000,0.1951146225,0.1631950015,0.0000000000,0.0000000000,0.0000000000,0.4449760766,0.5000000000,0.7000000000,0.0000000000,5.0000000000,7.0000000000,0.2800000000,1.0000000000,0.2500000000,1.0000000000,no
0.1049790155,0.8134436323,0.3182697463,0.9631301125,0.8003710886,0.5199617222,0.5510313297,0.7790906914,0.3009666572,0.4383272205,0.5152801958,0.3318692040,0.0021697828,0.2194712298,0.0107290644,0.4596774194,0.7549514822,0.5236716819,0.2402366904,0.0589959411,0.1211826725,0.0493679316,0.0000000000,0.0000000000,0.0000000000,0.3301435407,0.5000000000,0.7000000000,1.0000000000,5.0000000000,7.0000000000,0.3200000000,1.0000000000,0.5000000000,4.0000000000,no
0.0292935647,1.0000000000,0.0385879171,0.9854404297,0.8756398772,0.6993138074,0.6892190557,0.5649828989,0.0705815930,0.7148219585,0.6019154493,0.7239899477,0.1645124093,0.3874760462,0.0000000000,0.5925627240,0.7349328019,0.6619012592,0.0857988195,0.1827900429,0.0899415588,0.0627298947,0.0000000000,0.0000000000,0.0000000000,0.7224880383,0.5000000000,0.7000000000,2.0000000000,5.0000000000,7.0000000000,0.2800000000,1.0000000000,0.2500000000,4.0000000000,no
