"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.0000000000,0.0000000000,0.3851766022,0.3253199601,0.9425595398,0.4789887560,0.4601239905,0.9946370510,0.2308792418,0.8708420720,0.3798555539,0.7046012770,0.1158512342,0.6631474315,0.4477116463,0.2132464383,0.3324149611,0.3687057034,0.5580524221,0.4595019841,0.0074449077,0.0423422005,0.0000000000,1.0000000000,0.0000000000,0.6706586826,0.2000000000,0.4000000000,41.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.0000000000,0.3896357100,0.7933569073,0.5369289739,0.5231223695,1.0000000000,0.4908798643,0.8645201123,0.4440796952,0.7053918010,0.1630203149,0.4787121440,0.4442661580,0.1747164570,0.1848505012,0.4758475737,0.4494382073,0.4719162202,0.0095294818,0.0384857548,0.0000000000,1.0000000000,0.0000000000,0.6706586826,0.2000000000,0.4000000000,42.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.7208592487,0.4167032117,1.0000000000,0.6604789784,0.6029091276,0.7417924940,0.0000000000,0.1296785759,0.5127997697,0.3218472720,0.3498374595,0.4365045834,0.6214568284,0.2108133983,0.3719051528,0.5859737385,0.4606741513,0.6178107242,0.0154854080,0.0280969621,0.0000000000,1.0000000000,0.0000000000,0.2455089820,0.2000000000,0.4000000000,43.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2831277891,0.4494929299,0.6200478148,0.5311311247,0.5033270349,0.7698207064,0.3220787519,0.3234821884,0.4920402605,0.2288534593,0.1007262126,0.4144636536,0.6236014585,0.2565980048,0.3368254503,0.6058664463,0.8164794024,0.6061161059,0.0154854080,0.0161341099,0.0000000000,1.0000000000,0.0000000000,0.1377245509,0.2000000000,0.4000000000,44.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.4649316014,0.5408255898,0.6752288815,0.6742682549,0.6459263016,0.9098569429,0.3497295893,0.7457758496,0.6206005224,1.0000000000,0.1927093686,0.3294281111,0.5591537274,0.3426341084,0.2911848160,0.6641863577,0.4906366687,0.5827618220,0.0154854080,0.0079490005,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.2000000000,0.4000000000,45.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.4586191240,0.5697940277,0.7204246636,0.8050171793,0.7733317180,0.8945621146,0.1794862222,0.5356355341,0.7232886219,0.5550083096,0.2928374399,0.3727064424,0.7726101697,0.4648174199,0.2041315605,0.7654992510,0.4475655499,0.6975557607,0.0154854080,0.0044073666,0.0000000000,1.0000000000,0.0000000000,0.5029940120,0.2000000000,0.4000000000,46.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5267219706,0.6217519334,0.6729597959,0.8346760298,0.7904180244,0.7966001231,0.7523435588,0.5796956458,0.7695707863,0.4596618825,0.2650727982,0.2871651859,0.7531868913,0.6276603917,0.1315799774,0.8466183863,0.4157303306,0.7939808219,0.0154854080,0.0013379506,0.0000000000,1.0000000000,0.0000000000,0.3952095808,0.2000000000,0.4000000000,47.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.6216299555,0.6549246374,0.6625351013,0.8675122047,0.8171065979,0.7551388863,0.6288171735,0.6638058716,0.8098693445,0.4801374952,0.1735003160,0.1970778879,0.7481556984,0.7653053720,0.3012640705,0.9203692757,0.4419475333,0.9233161375,0.0154854080,0.0017314654,0.0000000000,1.0000000000,0.0000000000,0.4191616766,0.2000000000,0.4000000000,48.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.6017956686,0.6158460861,0.6309685959,0.8702278969,0.8230609661,0.8031799888,0.4832683133,0.6977812954,0.8277819956,0.4328729851,0.1184222975,0.1666137659,0.9003453317,0.8961478136,0.2795956602,0.9622785290,0.4194756452,0.9706993887,0.0119118523,0.0021249803,0.0000000000,1.0000000000,0.0000000000,0.3652694611,0.2000000000,0.4000000000,49.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2688944110,0.5939014481,0.4821453083,0.7627004637,0.7479453999,0.8190619901,0.6089879247,0.7298197790,0.7825410867,0.3815013732,0.0544922636,0.1106435788,0.8447078395,0.9727242755,0.3867790650,0.9106739994,0.4288389319,0.9041404492,0.0119118523,0.0042499606,0.0000000000,1.0000000000,0.0000000000,0.3113772455,0.2000000000,0.4000000000,50.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5291689036,0.5910843768,0.3566350686,0.7238177313,0.7150116019,0.7966608846,0.2167742654,0.6471525897,0.8323415849,0.4128416298,0.0540936495,0.3125106221,0.9954280617,1.0000000000,0.4008095145,0.9017267701,0.4831460393,0.9202439262,0.0119118523,0.0064536439,0.0000000000,1.0000000000,0.0000000000,0.3473053892,0.2000000000,0.4000000000,51.0000000000,3.0000000000,7.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2883921315,0.6713686538,0.4193161535,0.8158559706,0.8009857766,0.7893057493,0.2618041431,0.9699571350,0.8749606726,0.4717681466,0.0998811204,0.1624907175,0.8084217008,0.9706227547,0.3872309110,0.9426123096,0.5056179274,0.8876489386,0.0035735557,0.0018888714,0.0000000000,1.0000000000,0.0000000000,0.4131736527,0.2000000000,0.4000000000,52.0000000000,3.0000000000,7.0000000000,0.1200000000,1.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.2252411704,0.6901024256,0.4574134435,0.9136999305,0.9069893132,0.7432623440,0.5374077252,0.6868022386,0.9546255627,0.4181788090,0.0941959322,0.1842666819,0.8755114408,0.9172237208,0.3451559365,0.9193451001,0.5131085701,0.8496530133,0.0095294818,0.0033055249,0.0000000000,1.0000000000,0.0000000000,0.3532934132,0.2000000000,0.4000000000,53.0000000000,3.0000000000,7.0000000000,0.1200000000,1.0000000000,0.0000000000,53.0000000000,no
