"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.7061828071,0.006435187706,0.08802294375,0.00970586436,0.008809635295,0.3966316522,0.3250951633,0.02085395874,0.04766429075,0.8790518423,0.1423528229,0.300894115,0.1117192555,0.7949487184,0.4312188664,0.01289033916,0.4066420574,0.07270411919,0.1254360612,0.08908371304,0,0,1,0.748146461,0.8979591837,0.8163265306,0.03448275862,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,0
0,0,0.7067087173,0.007619519515,0.08812865042,0.01276714064,0.01198480865,0.4194970334,0.3251167038,0.02041042933,0.05279445055,0.8426603682,0.1038459198,0.3411555625,0.1016416248,0.7936881835,0.422170595,0.01886823812,0.4066420574,0.06992672998,0.1260174245,0.08942367635,0,0,1,0.759956576,0.8979591837,0.8163265306,0.04310344828,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,0
0,0,0.7064857398,0.005103300189,0.08881436597,0.01887416661,0.01595453323,0.3741294184,0.3252674873,0.01917909806,0.05704376773,0.7858210275,0.1359699032,0.3105135337,0.1565833242,0.791557548,0.362624235,0.02979543463,0.3357933644,0.08105528053,0.1263351058,0.08966820902,0,0,1,0.7527942622,0.8979591837,0.8163265306,0.05172413793,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,0
0,0,0.7054311568,0.004161675897,0.08958115184,0.02637886677,0.0197498038,0.2860697963,0.3254505816,0.02061928263,0.06468891014,0.6920437283,0.1644099932,0.2432942133,0.1807454543,0.7900022175,0.356319948,0.03981047516,0.4066420574,0.09171834784,0.1263264157,0.08967391216,0,0,1,0.7565078094,0.8979591837,0.8163265306,0.06034482759,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,1
0,0,0.7036738804,0.004216412098,0.1153547822,0.0312672076,0.02343495566,0.194726486,0.3247747483,0.01751111241,0.06179825856,0.2680320914,0.2407818669,0.2582452214,0.1836885363,0.7878200855,0.5157359758,0.03700980018,0.5605165799,0.1117345626,0.1259283749,0.08941715143,0,1,0,0.2907488987,0.8979591837,0.8163265306,0.06896551724,0.9368421053,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,1
0,0,0.7017070984,0.003382232625,0.1191094701,0.0351851809,0.02775323493,0.2302994186,0.3253628041,0.01987527048,0.06814934197,0.6334760266,0.1867025053,0.246145033,0.2328935519,0.7855641442,0.5284964427,0.03645253738,0.4841328632,0.1134181626,0.1251406359,0.08889061705,0,1,0,0.6784140969,0.8979591837,0.8469387755,0,0.9578947368,0.9479166667,0.3333333333,0.6666666667,0,0.08510638298,1
0,0,0.6999327717,0.003283372631,0.1029165106,0.03330596352,0.02723159141,0.2673932224,0.3255722855,0.01889407516,0.07499593945,0.6783517573,0.08245393831,0.2590009207,0.2654211346,0.7845530189,0.5063251173,0.04015534035,0.4675276868,0.1274092615,0.1239901387,0.08811350552,0,1,0,0.7268722467,0.8979591837,0.8469387755,0.008620689655,0.9578947368,0.9479166667,0.3333333333,0.6666666667,0,0.06382978723,0
0,0,0.6978753518,0.00233047455,0.09748158026,0.03412826155,0.03126990448,0.3333012969,0.3225555376,0.01983061949,0.08061754714,0.8854109061,0.05469833785,0.1828365162,0.3527404853,0.7882225412,0.4552336309,0.04599753219,0.4354243703,0.1253006794,0.1225046963,0.08712008254,0,1,0,0.9515418502,0.8979591837,0.8469387755,0.01724137931,0.9578947368,0.9479166667,0.3333333333,0.6666666667,0,0.06382978723,0
0,0,0.6981261969,0.002487709557,0.09620437077,0.03604626412,0.03622099678,0.380275014,0.3209916969,0.02014997407,0.08592989181,0.7693262608,0.04625690192,0.1340565512,0.3133528634,0.7975171022,0.4119319862,0.05024763026,0.4055350474,0.1234378543,0.1207964586,0.0860089666,0,1,0,0.8281938326,0.8979591837,0.8469387755,0.02586206897,0.9578947368,0.9479166667,0.3333333333,0.6666666667,0,0.06382978723,0
0,0,0.7007770435,0.00249682069,0.08515302446,0.0338115819,0.03493462125,0.3748780579,0.3161375438,0.02219662405,0.08816058574,0.6578347145,0.04761995205,0.1852978935,0.3224924444,0.8071827687,0.4167354514,0.05187051892,0.4254612538,0.1339042167,0.1228899159,0.08770301953,0,1,0,0.704845815,0.8979591837,0.8469387755,0.03448275862,0.9578947368,0.9479166667,0.3333333333,0.6666666667,0,0.06382978723,0
0,0,0.7107490843,0.002505847782,0.1026305476,0.04304454496,0.04844714052,0.4694481417,0.3272852942,0.02611998332,0.09572845977,0.8012032593,0.04976128732,0.203535524,0.3255974682,0.809838247,0.3896800437,0.05979365677,0.4066420574,0.1312090198,0.1260033188,0.08986880243,0,1,0,0.859030837,0.8979591837,0.8469387755,0.04310344828,0.9578947368,0.9479166667,0.3333333333,0.6666666667,0,0.06382978723,0
0,0,0.7210883672,0.002066487516,0.1094177811,0.05509836826,0.06733315743,0.5465841346,0.3270908912,0.02582869395,0.1120833556,0.8585947371,0.05196746245,0.2075011368,0.3872340466,0.8062975594,0.3682270563,0.07816209288,0.3269372579,0.133904491,0.1338641877,0.09403290085,0,1,0,0.9207048458,0,0,0,0,0,0.3333333333,0.6666666667,0,0.06382978723,0
