"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,Real effective exchange rate index (2010 = 100),General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.019721966,0.477221835,0.434141985,0.716370768,0.713738563,0.704235773,0.699266282,0.546698545,0.167782122,0.452251561,0.88983245,0.894625492,0.662189544,0.005319146,0.030523256,0.148768702,0.005829848,0.594881647,0.46209332,0.851478063,0.950754855,0.6887097,0.427714961,0.026283282,0.003885416,0,0,0,0.672316384,0.8,0.9,14,6,8,0.2,0,0,18,0
0.137834556,0.619027906,0.486107186,0.798398565,0.748547804,0.740458972,0.739944539,0.495869627,0,0.31231594,0.920692059,0.910721666,0.661031714,0.010773017,0.017948159,0.149450597,0,0.528349823,0.416837487,0.883471587,0.993084288,0.643548376,0.482431401,0.022175589,0.00521882,0,0,0,0.666666667,0.8,0.9,15,6,8,0.2,0,0,18,0
0.000887571,0.657968124,0.560584093,0.873416038,0.718210963,0.761410722,0.761932697,0.406957771,0.156150635,1,0.998480671,0.968036332,0.532950937,0.008409708,0,0.137773215,0.002620136,0.506850829,0.497491041,0.929609408,0.980141195,0.646774179,0.591199338,0.01485318,0.007867967,0,0,0,0.542372881,0.8,0.9,16,6,8,0.2,0,0,18,0
0.025019739,0.582902734,0.435211566,0.950789697,0.735792804,0.800523602,0.800921694,0.458683198,0.15222629,0.496481241,1,1,0.616669777,0.010053506,0.020593412,0.163097524,0.002057908,0.554801191,0.482851235,0.93028354,1,0.630645162,0.59923504,0.002009198,0.002657978,0,0,0,0.621468927,0.8,0.9,17,6,8,0.2,0,0,18,1
0.046491341,0.420266075,0.485985167,0.863552923,0.829176265,0.788896683,0.772726998,0.390306203,0.421428686,0.750313324,0.910382362,0.887888671,0.641487307,0,0.009237742,0.163073365,0.004873425,0.50247612,0.333182412,0.95333496,0.950446339,0.549999999,0.69753133,0,0,0,0,0,0.649717514,0.8,0.9,18,6,8,0.2,0,0,18,1
0.16423257,0.271922925,0.436778344,0.863942878,0.904521373,0.774686496,0.76293963,0.428355694,0.331777693,0.893120114,0.819024957,0.814928301,0.604398053,0.000782819,0.028841838,0.164017121,0.001052626,0.384922358,0.165940258,0.895480472,0.88751484,0.477419345,0.773039668,0.023485288,0.007399951,0,0,0,0.610169492,0.8,0.9,19,6,8,0.2,0,0,18,1
0.081251325,0.245213857,0.485751359,0.848571541,0.920482932,0.842480262,0.833807605,0.476998635,0.484904324,0.68572155,0.866807505,0.877766576,0.575437069,0.025721481,0.036678894,0.156833304,0.009548353,0.295793165,0.19229441,0.821212759,0.925073162,0.406451632,0.82080754,0.069533122,0.022323479,0,0,0,0.581920904,0.8,0.9,20,6,8,0.2,0,0,18,0
0.031667828,0.305782511,0.569341435,0.853499123,0.972655705,0.930677273,0.91753287,0.452030882,0.508215839,0.751578937,0.928030838,0.927378719,0.58001939,0.016875257,0.024179171,0.113500106,0.011452609,0.175296185,0.193923132,0.812487214,0.973712024,0.382258067,0.793757342,0.082168743,0.028416517,0,0,0,0.587570622,0.8,0.9,21,6,8,0.2,0,0,18,0
0.040738048,0.300412096,0.610609832,0.882128196,0.931959659,0.913979083,0.942068863,0.615725292,0.527060569,0.540845437,0.969600867,0.964099244,0.446751485,0.007089643,0.018488643,0.1146074,0.012128397,0.07588915,0.232415202,0.778466097,0.94545938,0.416129042,0.867411298,0.089119078,0.031127477,0,0,0,0.451977401,0.8,0.9,22,6,8,0.2,0,0,18,0
0.097024559,0.201091395,0.54428808,0.95501571,0.921134816,0.751389833,0.822621108,0.871701092,0.693985385,0.693297114,0.83830175,0.821669136,0,0.005237476,0.017576954,0.171170233,0.006522159,0,0.141994962,1,0.738321436,0.572580623,0.930025846,0.0518373,0.009263184,0,0,0,0,0.8,0.9,23,6,8,0.2,0,0,18,0
0.015924993,0.369065706,0.392795163,1,1,1,1,0.605914409,1,0.649349523,0.957904998,0.982565422,0.725674027,0.022993128,0.039338038,0.145607908,0.006573772,0.016129856,0.206576186,0.85873832,0.925404826,0.514516162,1,0.025940974,0.000591643,0,0,0,0.734463277,0.8,0.9,24,6,8,0.2,0,0,18,0
